code,discipline,nomUE,semestre,ETCS,nbplace,
SPUGDE10,Geographie,UE GEOGRAPHIE : Decouverte 1,1,6,4,
SPUGDC10,Geographie,UE GEOGRAPHIE : Decouverte 2,1,6,3,
SPUGDI10,Geographie,UE GEOGRAPHIE : Disciplinaire 1,1,6,3,
SPUF10,Informatique,UE INFO S1 : Bases de l'informatique,1,6,164,
SPUF11,Informatique,UE INFO S1 : Introduction a l'informatique par le web,1,6,134,
SPUM13,Mathematique,UE MATHS S1 : Complements 1,1,6,100,
SPUM12,Mathematique,UE MATHS S1 : Methodes - approche continue,1,6,280,
SPUV101,SV,UE SV-S1 : Genetique. evolution. origine vie & biodiversite,1,6,43,
SPUV100,SV,UE SV-S1 : Org et mecan. moleculaires - cellules eucaryotes,1,6,26,
SPUC10,Chimie,UE CHIMIE S1 : Structure microscopique de la matiere,1,6,167,
SPUE10,Electronique,UE ELECTRONIQUE S1 : Electronique numerique - Bases,1,6,154,
SPEA11,MIASHS,ECUE MIASHS S1 : Culture economie 1,1,3,49,
SPEA12,MIASHS,ECUE MIASHS S1 : Introduction a l'analyse economique,1,3,61,
SPEA10,MIASHS,ECUE MIASHS S1 : Macroeconomie 1,1,3,111,
SPUP10,Physique,UE PHYSIQUE S1 : Mecanique 1,1,6,203,
SPUT10,Sciences de la terre,UE TERRE S1 : Decouverte des sciences de la terre,1,6,56,
SPEA10,Mathematique,UE MATHS S1 : Fondements 1,1,6,322,
SPUM12,Mathematique,UE MATHS S1 : Methodes - approche continue,1,6,280,
SPUGDE20,Geographie,UE GEOGRAPHIE : Decouverte 3,2,6,3,
SPUGDC20,Geographie,UE GEOGRAPHIE : Decouverte 4,2,6,3,
SPUGDI20,Geographie,UE GEOGRAPHIE : Disciplinaire 2,2,6,1,
SPUV201,SV,UE SV S2 : Diversite du vivant,2,6,13,
SPUV200,SV,UE SV S2 : Physiologie - neurologie - enzymologie,2,6,27,
SPUC20,Chimie,UE CHIMIE S2 : Reactions et reactivites chimiques,2,6,84,
SPEC22,Chimie,ECUE CHIMIE Thermodynamique Chimie,2,3,84,
SPEC23,Chimie,ECUE CHIMIE S2 : Chimie et pollution,2,3,23,
SPEC25,Chimie,ECUE CHIMIE S2 : Complement de thermodynamique physique,2,3,16,
SPEC24,Chimie,ECUE CHIMIE S2 : Sens chimique,2,3,35,
SPUE21,Electronique,UE ELECTRONIQUE S2 : Communication sans fil,2,6,39,
SPUE20,Electronique,UE ELECTRONIQUE S2 : Electronique analogique,2,6,44,
SPUF21,Informatique,UE INFO S2 : Programmation imperative,2,6,226,
SPUF20,Informatique,UE INFO S2 : Systeme 1 unix et programmation shell,2,6,111,
SPUM23,Mathematique,UE MATH S2 : Complements 2,2,6,83,
SPUM22,Mathematique,UE MATH S2 : Methodes Maths-Approche discrete,2,6,242,
SPUM21,Mathematique,UE MATH S2 : Fondements 2,2,6,261,
SPEA21,MIASHS,ECUE MIASHS S2 : Economie d'entreprise 1,2,3,55,
SPEA22,MIASHS,ECUE MIASHS S2 : Economie de l'information,2,3,28,
SPEA20,MIASHS,ECUE MIASHS S2 : Macroeconomie 1,2,3,100,
SPUP21,Physique,UE PHYSIQUE S2 : Mecanique - complements,2,6,86,
SPUP20,Physique,UE PHYSIQUE S2 : Optique,2,6,117,
SPUT22,Sciences de la terre,UE TERRE S2 : Atmosphere. ocean. climats,2,6,35,
SPUT20,Sciences de la terre,UE TERRE S2 : Structure et dynamique de la terre,2,6,31,
SPUM21,Mathematique,UE MATH S2 : Fondements 2,2,6,261,
SPUM22,Mathematique,UE MATH S2 : Methodes Maths-Approche discrete,2,6,242,
SPUGDE33,Geographie,UE GEO S3 : Approfondissement hors geographie 1,3,6,0,
SPUGDI30,Geographie,UE GEO S3 : Disciplinaire 3,3,6,2,
SPUGDI31,Geographie,UE GEOGRAPHIE : Disciplinaire 4,3,6,2,
SPUGDI32,Geographie,UE GEOGRAPHIE : Disciplinaire 5,3,6,2,
SPUC30,Chimie,UE CHIMIE S3 : Chimie des solutions,3,6,65,
SPEC306,Chimie,ECUE CHIMIE S3 : Chimie medicinale,3,3,18,
SPEC305,Chimie,ECUE CHIMIE S3 : Cosmetique et parfums,3,3,39,
SPEC304,Chimie,ECUE CHIMIE S3 : Structure des biomolecules,3,3,8,
SPEC303,Chimie,ECUE CHIMIE S3 : Chimie organique fonctionelle 1,3,3,64,
SPUC32,Chimie,UE CHIMIE S3 : Materiaux 1,3,6,68,
